termo,slug,categoria,url,status
Datilologia,datilologia,linguística,https://libras.se/glossario/datilologia/,pendente
TIL / TILS,til-tils,interpretação,https://libras.se/glossario/til-tils/,pendente
Configuração de Mão (CM),configuracao-de-mao,linguística,https://libras.se/glossario/configuracao-de-mao/,pendente
LBI,lbi,legislação,https://libras.se/glossario/lbi/,pendente
Libras,libras,linguística,https://libras.se/glossario/libras/,pendente
Janela de Libras,janela-de-libras,tecnologia,https://libras.se/glossario/janela-de-libras/,pendente
Espaço de Sinalização,espaco-de-sinalizacao,linguística,https://libras.se/glossario/espaco-de-sinalizacao/,pendente
Expressão Não-Manual (ENM),expressao-nao-manual,linguística,https://libras.se/glossario/expressao-nao-manual/,pendente
Interpretação Simultânea,interpretacao-simultanea,interpretação,https://libras.se/glossario/interpretacao-simultanea/,pendente
Surdo,surdo,cultura,https://libras.se/glossario/surdo/,pendente
Comunidade Surda,comunidade-surda,cultura,https://libras.se/glossario/comunidade-surda/,pendente
Acessibilidade Audiovisual,acessibilidade-audiovisual,tecnologia,https://libras.se/glossario/acessibilidade-audiovisual/,pendente
Interpretação Remota (VRI),interpretacao-remota,tecnologia,https://libras.se/glossario/interpretacao-remota/,pendente
Sinal Soletrado,sinal-soletrado,linguística,https://libras.se/glossario/sinal-soletrado/,pendente
Ponto de Articulação (PA),ponto-de-articulacao,linguística,https://libras.se/glossario/ponto-de-articulacao/,pendente
Lei 10.436/2002,lei-10436,legislação,https://libras.se/glossario/lei-10436/,pendente
INES,ines,cultura,https://libras.se/glossario/ines/,pendente
Decreto 5.626/2005,decreto-5626,legislação,https://libras.se/glossario/decreto-5626/,pendente
Movimento (MOV),movimento,linguística,https://libras.se/glossario/movimento/,pendente
Orientação de Mão,orientacao-de-mao,linguística,https://libras.se/glossario/orientacao-de-mao/,pendente
Bilinguismo,bilinguismo,cultura,https://libras.se/glossario/bilinguismo/,pendente
LSE: Legenda para Surdos,lse,tecnologia,https://libras.se/glossario/lse/,pendente
Audiodescrição (AD),audiodescricao,tecnologia,https://libras.se/glossario/audiodescricao/,pendente
FENEIS,feneis,cultura,https://libras.se/glossario/feneis/,pendente
Glosa,glosa,linguística,https://libras.se/glossario/glosa/,pendente
